Community League,Program,Delivery
Alberta Avenue CL,Community Garden,Direct
Alberta Avenue CL,Community use @ Commonwealth,Indirect
Alberta Avenue CL,Compost Sale,Direct
Alberta Avenue CL,Drive-in Movie,Indirect
Alberta Avenue CL,Equipment loans,Direct
Alberta Avenue CL,Free fax & printing,Direct
Alberta Avenue CL,Green Shack,Indirect
Alberta Avenue CL,Ladies Fitness,Direct
Alberta Avenue CL,Neighbour Connect,Direct
Alberta Avenue CL,Spark Youth Camp,Direct
Alberta Avenue CL,Summer Camp,Indirect
Alberta Avenue CL,Urban Pole Walking,Direct
Alberta Avenue CL,Winter games,Direct
Alberta Avenue CL,Adult art night,Direct
Alberta Avenue CL,Math help,Direct
Aldergrove CL,Aldergrove Soccer,Direct
Aldergrove CL,Hatha Yoga,Direct
Aldergrove CL,Zumba,Indirect
Aldergrove CL,Strong by zumba,Indirect
Aldergrove CL,Cadets,Indirect
Aldergrove CL,Northwest Basketball,Indirect
Aldergrove CL,West Edmonton Raiders football,Indirect
Aldergrove CL,Grove City Chorus,Indirect
Allendale CL,Basketball,Direct
Allendale CL,Big Bin,Direct
Allendale CL,Bridge,Direct
Allendale CL,Darts,Direct
Allendale CL,Learn to Skate,Indirect
Allendale CL,Math Club,Indirect
Allendale CL,Playground,Direct
Allendale CL,Skating,Direct
Allendale CL,Tennis,Direct
Allendale CL,Yoga,Indirect
Allendale CL,Zumba,Indirect
Allendale CL,Martial Arts,Indirect
Allendale CL,Green Shack,Indirect
Allendale CL,Winter Shack,Indirect
Allendale CL,Heroes In Training,Indirect
Argyll CL,Yoga,Direct
Argyll CL,Music Drop In,Direct
Argyll CL,Child Drop in,Direct
Aspen Gardens CL,Community Swim Program,Indirect
Aspen Gardens CL,Family Skate Night,Direct
Aspen Gardens CL,Harvest Festival,Direct
Aspen Gardens CL,Home Alone,Direct
Aspen Gardens CL,Kick it to the Curb,Direct
Aspen Gardens CL,Outdoor Skating Rinks,Direct
Aspen Gardens CL,Seniors Grinch Night,Direct
Aspen Gardens CL,Spring Fling,Direct
Aspen Gardens CL,Summer Festival/ BBQ,Direct
Aspen Gardens CL,Summer Greenshack,Indirect
Aspen Gardens CL,Winter Festival,Direct
Aspen Gardens CL,Youth Soccer,Direct
Aspen Gardens CL,Curbside Sharing,Direct
Aspen Gardens CL,EPS Safety Meeting,Indirect
Athlone CL,Junior Forest Wardens,Indirect
Athlone CL,Karate,Direct
"Avonmore CL, The",Babysitting Course,Indirect
"Avonmore CL, The",Community League Day,Direct
"Avonmore CL, The",Family Day Fun Event,Direct
"Avonmore CL, The",Garden Club,Direct
"Avonmore CL, The",Lego Club,Direct
"Avonmore CL, The",Gingerbread Event,Direct
"Avonmore CL, The",Parent and Tots,Direct
"Avonmore CL, The",Green Shack,Indirect
"Avonmore CL, The",Outdoor Soccer,Direct
"Avonmore CL, The",Public Skating and Shinny,Direct
"Avonmore CL, The",Playschool,Indirect
"Avonmore CL, The",Soccer BBQ,Direct
"Avonmore CL, The",Summer Kick Off,Direct
"Avonmore CL, The",Yoga ( 2 classes),Indirect
"Avonmore CL, The",Games Night,Direct
"Avonmore CL, The",Concert Series,Direct
"Avonmore CL, The",Senior Coffee Chat,Direct
"Avonmore CL, The",Big Bin Event,Direct
"Avonmore CL, The",AGM,Direct
