Community League,Mailing Address,Street Address
Alberta Avenue CL,9210 - 118 Avenue   Edmonton AB T5G0N2,9210 - 118 Avenue  Edmonton AB   
Aldergrove CL,8535 - 182 Street  Edmonton AB T5T1X1,8535 - 182 Street  Edmonton AB   
Allendale CL,6330  - 105A Street  Edmonton AB T6H5Z3,6330  - 105A Street  Edmonton AB   
Argyll CL,6750 - 88 Street  Edmonton AB T6E5H6,6750 - 88 Street  Edmonton AB   
Gardening,12015 - 39A Avenue  Edmonton AB T6J6P7,12015 - 39A Avenue  Edmonton AB   
Athlone CL,13010 - 129 Street  Edmonton AB T5L1J3,13010 - 129 Street  Edmonton AB   
Avonmore CL  The,7902 - 73 Avenue  Edmonton AB T6C0C5,7902 - 73 Avenue  Edmonton AB   
Balwin CL,PO Box 61025  Edmonton AB T5E6J6,12904 - 74 Street  Edmonton AB   
Bannerman CL,PO Box 50008  RPO Clareview  Edmonton AB T5Y2M6,14034 - 23 Street  Edmonton AB   
Baturyn CL,PO Box 36030  Edmonton AB T5X5V9,10505 - 172 Avenue  Edmonton AB   
Beacon Heights CL,Box 20204  Beverly P.O.  Edmonton AB T5W5E6,4418 - 118 Avenue  Edmonton AB   
Belgravia CL,PO Box 52202  Edmonton AB T6G2T5,11540 - 73 Avenue  Edmonton AB   
Bellevue CL,7308 - 112 Avenue  Edmonton AB T5B0E3,7308 - 112 Avenue  Edmonton AB   
Belmead CL,9109 - 182 Street  Edmonton AB T5T2Y9,9109 - 182 Street  Edmonton AB   
Belvedere CL,13223 - 62 Street  Edmonton AB T5A0V5,13223 - 62 Street  Edmonton AB   
Beverly Heights CL,4209 - 111 Avenue  Edmonton AB T5W0K3,4209 - 111 Avenue  Edmonton AB   
Blackmud Creek CL,Box 22516  RPO Southbrook  Edmonton AB T6W0C3,Box 22516  RPO Southbrook  Edmonton AB   
Blue Quill CL,11304 - 25 Avenue  Edmonton AB T6J5B1,11304 - 25 Avenue  Edmonton AB   
Bonnie Doon CL,9240 - 93 Street  Edmonton AB T6C3T6,9240 - 93 Street  Edmonton AB   
Boyle Street CL  The,101  9538 - 103A Avenue  Edmonton AB T5H0J3,101  9538 - 103A Avenue  Edmonton AB   
Britannia Youngstown CL,15927 - 105 Avenue  Edmonton AB T5P0T8,15927 - 105 Avenue  Edmonton AB   
Brookview CL,280 Bulyea Road  Edmonton AB T6R1W5,280 Bulyea Road  Edmonton AB   
Burnewood CL,4118 - 41 Avenue  Edmonton AB T6L5Y6,4118 - 41 Avenue  Edmonton AB   
Caernarvon CL,14830 - 118 Street  Edmonton AB T5X1T4,14830 - 118 Street  Edmonton AB   
Calder CL,P.O. Box 69089  Skyview R.P.O.  Edmonton AB T6V1G7,12721 - 120 Street  Edmonton AB   
Callingwood-Lymburn CL,18740 - 72 Avenue  Edmonton AB T5T5E9,Meeting Place: Callingwood Arena  Edmonton AB   
Cameron Heights CL,PO BOX 78118  RPO Callingwood  Edmonton AB T5T6A1,PO BOX 78118  RPO Callingwood  Edmonton AB   
Canora CL  The,10425 - 152 Street  Edmonton AB T5P4P1,10425 - 152 Street  Edmonton AB   
Capilano CL,10810 - 54 Street  Edmonton AB T6A2H8,10810 - 54 Street  Edmonton AB   
Carlisle CL,P.O. Box 69140 RPO Kensington  Edmonton AB T5X 4N6,14240 - 117 Street  Edmonton AB   
Central McDougall CL,323  10301 104 Street  Edmonton AB T5J 1B9,No Building / No Hall  Edmonton AB   
Cloverdale CL,9411 - 97 Avenue  Edmonton AB T6C4N4,9411 - 97 Avenue  Edmonton AB   
Crestwood CL,14325 - 96 Avenue  Edmonton AB T5N0C5,14325 - 96 Avenue  Edmonton AB   
Cumberland/Oxford CL,14804 - 129 Street  Edmonton AB T6V1C4,14804 - 129 Street  Edmonton AB   
Delton CL,PO Box 99507 Cromdale PO   Edmonton AB T5B4C7,12325 - 88 Street  Edmonton AB   
Delwood CL,7515 Delwood Road  Edmonton AB T5C3A9,7515 Delwood Road  Edmonton AB   
Dovercourt CL,13510 Dovercourt Avenue  Edmonton AB T5L4Y1,13510 Dovercourt Avenue  Edmonton AB   
Downtown Edmonton CL,1009  10301 104 Street NW  Edmonton AB T5J1B9,10042 - 103 Street  NW  Edmonton AB   
Duggan CL,Box 41041  Yellowbird PO  Edmonton AB T6J6M7,3728 - 106 Street  Edmonton AB   
Dunluce CL,Box 36050  RPO Castledowns  Edmonton AB T5X5V9,11620 - 162 Avenue  Edmonton AB   
Eastwood CL,11803 - 86 Street  Edmonton AB T5B3J9,11803 - 86 Street  Edmonton AB   
Edgemont CL,#31 Evergreen Community  NW  Edmonton AB T5Y4M2,#31 Evergreen Community  NW  Edmonton AB   
Ellerslie CL,Box 145  9218 Ellerslie Rd  Edmonton AB T6X0K6,Box 145  9218 Ellerslie Rd  Edmonton AB   
Elmwood CL,16415 - 83 Avenue  Edmonton AB T5R3V8,16415 - 83 Avenue  Edmonton AB   
Elmwood Park CL,"12505 - 75 Street

  Edmonton AB T5A1Y8 
T5A 1Y8",12505 - 75 Street  Edmonton AB   
Empire Park SW CL,Box 76116  Southgate P.O.   Edmonton AB T6H 5Y7,4804 - 107 Street  Edmonton AB   T6H 2W8
Ermineskin CL,10709 - 32A Avenue  Edmonton AB T6J4A6,10709 - 32A Avenue  Edmonton AB   
Evansdale CL,PO Box 71023 Northtown Mall   Edmonton AB T5E 6J2,9111 - 150 Avenue  Edmonton AB   T5E 6J8
Forest Terrace Heights CL,10150 - 80 Street  Edmonton AB T6A3H9,10150 - 80 Street  Edmonton AB   
Fraser CL,Box 50090 RPO Clareview   Edmonton AB T5Y2B6,14720 - 21 Street  Edmonton AB   
Fulton Meadows CL,Box 46210  Edmonton AB T6T0K8,Box 46210  Edmonton AB   
Fulton Place CL,10412 - 65 Street  Edmonton AB T6A2N8,6115 Fulton Road  Edmonton AB   
Garneau CL  The,P.O. Box 52009  Edmonton AB T6G2C5,Meeting Place-City Arts Centre 10943-84 Ave  Edmonton AB   
Glastonbury CL,PO Box 73004  Hamptons PO 6290-199th St  Edmonton AB T5T1L6,#179  17008 - 90 Avenue  Edmonton AB   T5T 3X1
Glengarry CL,13325 - 89 Street  Edmonton AB T5E3K3,13325 - 89 Street  Edmonton AB   
Glenora CL,10426 - 136 Street  Edmonton AB T5N2E8,10426 - 136 Street  Edmonton AB   
Glenwood CL,16430 - 97 Avenue  Edmonton AB T5P0E8,16430 - 97 Avenue  Edmonton AB   
Gold Bar CL,"Box 38124 Capilano
  Edmonton AB T6A 3Y6",4620 - 105 Avenue  Edmonton AB    T6A 1C1
Grandview Heights CL,12603 - 63 Avenue  Edmonton AB T6H5Z7,12603 - 63 Avenue  Edmonton AB   
Greater Windermere CL,18102 - 8 Avenue  SW  Edmonton AB T6W1A5,18102 - 8 Avenue  SW  Edmonton AB   T6W 3K6
Greenfield CL,3803 - 114 Street  Edmonton AB T6J1M3,3803 - 114 Street  Edmonton AB   
Griesbach CL,Box 71117  Northtown PO  Edmonton AB T5E 6J8,9308 - 137 Avenue  Edmonton AB   T5W 6j8
Grovenor CL,14325 - 104 Avenue  Edmonton AB T5N0W9,14325 - 104 Avenue  Edmonton AB   
Hairsine CL,Box 50096  Clareview P.O.  Edmonton AB T5Y2M9, 3120 - 139 Avenue  Edmonton AB   T5Y 2B7
Hazeldean CL,9630 - 66 Avenue NW  Edmonton AB T6E4W9,9630 - 66 Avenue NW  Edmonton AB   
Heritage Point CL,"Box 22510  Southbrook P.O.
  Edmonton AB T6W0C3",Johnny Bright School Library  Edmonton AB   T6W 3C1
High Park CL,11032 - 154 Street  Edmonton AB T5P2K1,11032 - 154 Street  Edmonton AB   
Highlands and District CL,6112 - 113 Avenue  Edmonton AB T5W4C2,6112 - 113 Avenue  Edmonton AB   
Hodgson CL,Box 88001  Rabbit Hill PO  Edmonton AB T6R0M5,Box 88001  Rabbit Hill PO  Edmonton AB   
Holyrood CL,9411 Holyrood Road  Edmonton AB T6C4C4,9411 Holyrood Road  Edmonton AB   
Homesteader CL,Box 50065  14061 Victoria Trail  Edmonton AB T5Y2B6,565 Hermitage Road  Edmonton AB   
Horse Hills CL,P.O. Box 65502  Edmonton AB T5Y0M5,P.O. Box 65502 RPO Hollick Kenyon  Edmonton AB   
Idylwylde CL,8631 - 81 Street  Edmonton AB T6C2W1,8631 - 81 Street  Edmonton AB   
Inglewood CL,P.O. Box 62096  Edmonton AB T5M4B5,12515 - 116 Avenue  Edmonton AB   
Jasper Park CL,8751- 153 Street  Edmonton AB T5R1P1,8751- 153 Street  Edmonton AB   
Kenilworth CL,7104 - 87 Avenue  Edmonton AB T6B3C2,7104 - 87 Avenue  Edmonton AB   
Kensington CL,Box 69031  Kensington Crossing  Edmonton AB T5E 5N1,12130 - 134A Avenue  Edmonton AB   
Kilkenny CL,Box 71120  Northtown Mall  Edmonton AB T5E6J8,14910 - 72 Street NW  Edmonton AB   
Killarney CL,8720 - 130A Avenue  Edmonton AB T5E0V6,8720 - 130A Avenue  Edmonton AB   
King Edward Park CL,7708 - 85 Street  Edmonton AB T6C4K9,8008 81 Street   Edmonton AB   
Knottwood Community Hall,P.O. Box 32081  Edmonton AB T6K4C5,445 Knottwood Road West  Edmonton AB   
La Perle CL,18611 - 97 A Avenue  Edmonton AB T5T4C1,18611 - 97 A Avenue  Edmonton AB   
Lago Lindo CL,17123 - 95 Street  Edmonton AB T5Z1Z9,17123 - 95 Street  Edmonton AB   
Lakewood CL,260 Lakewood Road  East  NW  Edmonton AB T6K3L4,260 Lakewood Road East  NW  Edmonton AB   T6K 3L4
Lansdowne CL,Lendrum P.O   Box 29002  Edmonton AB T6H5Z6,4915 - 124 Street  Edmonton AB   
Lauderdale CL,12937 - 107 Street  Edmonton AB T5E6H4,12937 - 107 Street  Edmonton AB   
Laurier Heights CL,PO Box 67195 RPO Meadowlark  Edmonton AB T5R5Y2,14405 - 85 Avenue  Edmonton AB   
Leefield CL,7910 - 36 Avenue  Edmonton AB T6K1H7,7910 - 36 Avenue  Edmonton AB   
Lendrum CL,P O Box 4570  Station South  Edmonton AB T6E5G4,11335 - 57 Avenue  Edmonton AB   T6H 0Z7
Lessard CL  The,Box 78129  Callingwood PO  Edmonton AB T5T6A1,17404 - 57 Avenue  Edmonton AB   T6M 1Ky
Lewis Estates CL,924 Picard Drive  Edmonton AB T5T6N6,924 Picard Drive  Edmonton AB   
Londonderry CL  The,Box 70111  Londonderry Mall PO  Edmonton AB T5C3R6,14224 - 74 Street  Edmonton AB   
Lorelei Beaumaris CL,Box 36031  Edmonton AB T5X5V9,16220 - 103 Street  Edmonton AB   
Lynnwood CL,15525 - 84 Avenue  Edmonton AB T5R3Y1,15525 - 84 Avenue  Edmonton AB   
Malmo Plains CL,11525 - 48 Avenue  Edmonton AB T6H0G8,11525 - 48 Avenue  Edmonton AB   
Mayfield CL,10941 - 161 Street  Edmonton AB T5P3J9,10941 - 161 Street  Edmonton AB   
McCauley CL,Suite B1   10826 - 95 Street NW  Edmonton AB T5H2E3,Suite B1   10826 - 95 Street NW  Edmonton AB   
McKernan CL,11341 - 78 Avenue  Edmonton AB T6G0N1,11341 - 78 Avenue  Edmonton AB   
McLeod CL,"14715 - 59 Street
  Edmonton AB T5A1Y3",14715 - 59 Street  Edmonton AB   
McQueen CL,c/o 14560 - 107A Avenue  Edmonton AB T5N1G5,10825 McQueen Road  Edmonton AB   
Meadowlark CL,PO Box 67118  RPO Meadowlark  Edmonton AB T5R5Y3,15961 - 92 Avenue  Edmonton AB   
Meadows CL,5811 - 19A Avenue  Edmonton AB T6L4J8,5811 - 19A Avenue  Edmonton AB   
Montrose CL,"5920 - 119 Avenue
  Edmonton AB T5W5J4",5920 - 119 Avenue  Edmonton AB   
Newton CL,Box 20193  Beverly P.O.  Edmonton AB T5W5E6,5520 - 121 Avenue  Edmonton AB   
North Glenora CL,13535 - 109 A Avenue NW  Edmonton AB T5M3Z4,13535 - 109 A Avenue  NW  Edmonton AB   
North Millbourne CL,"Box 42029 RPO Millbourne
  Edmonton AB T6K4C4",980 Millbourne Road East  Edmonton AB   T6K 2K2
Northmount CL,Box 71155 RPO Northtown Mall  Edmonton AB T5E6J8,9208 - 140 Avenue  Edmonton AB   
Oak Hills CL,Box 88031  2430 Rabbit Hill PO  Edmonton AB T6R 0M5,Box 88031  2430 Rabbit Hill Road  Edmonton AB   
Ogilvie Ridge CL,951 Ogilvie Boulevard  Edmonton AB T6R1K8,951 Ogilvie Boulevard  Edmonton AB   
Oliver CL,Box 35041 RPO Midtown  Edmonton AB T5K2K9,10326 - 118 Street  Edmonton AB   
